IMAGE 2229232 bc1ec4b367e5eb46f3f629ef69658aae316cbb938f0eb4627b22d39f9cecdf29
RESUME: preserved snapshot; destination and source blocks require CRC
STAGE openvela 0x40400000 2229232
CRC VERIFIED 4096/2229232 (0.0s)
CRC VERIFIED 8192/2229232 (0.0s)
CRC VERIFIED 12288/2229232 (0.0s)
CRC VERIFIED 16384/2229232 (0.1s)
CRC VERIFIED 20480/2229232 (0.1s)
CRC VERIFIED 24576/2229232 (0.1s)
CRC VERIFIED 28672/2229232 (0.1s)
CRC VERIFIED 32768/2229232 (0.1s)
CRC VERIFIED 36864/2229232 (0.1s)
CRC VERIFIED 40960/2229232 (0.2s)
CRC VERIFIED 45056/2229232 (0.2s)
CRC VERIFIED 49152/2229232 (0.2s)
CRC VERIFIED 53248/2229232 (0.2s)
CRC VERIFIED 57344/2229232 (0.2s)
CRC VERIFIED 61440/2229232 (0.2s)
CRC VERIFIED 65536/2229232 (0.2s)
CRC VERIFIED 69632/2229232 (0.3s)
CRC VERIFIED 73728/2229232 (0.3s)
CRC VERIFIED 77824/2229232 (0.3s)
CRC VERIFIED 81920/2229232 (0.3s)
CRC VERIFIED 86016/2229232 (0.3s)
CRC VERIFIED 90112/2229232 (0.3s)
CRC VERIFIED 94208/2229232 (0.4s)
CRC VERIFIED 98304/2229232 (0.4s)
CRC VERIFIED 102400/2229232 (0.4s)
CRC VERIFIED 106496/2229232 (0.4s)
CRC VERIFIED 110592/2229232 (0.4s)
CRC VERIFIED 114688/2229232 (0.4s)
CRC VERIFIED 118784/2229232 (0.5s)
CRC VERIFIED 122880/2229232 (0.5s)
CRC VERIFIED 126976/2229232 (0.5s)
CRC VERIFIED 131072/2229232 (0.5s)
CRC VERIFIED 135168/2229232 (0.5s)
CRC VERIFIED 139264/2229232 (0.5s)
CRC VERIFIED 143360/2229232 (0.5s)
CRC VERIFIED 147456/2229232 (0.6s)
CRC VERIFIED 151552/2229232 (0.6s)
CRC VERIFIED 155648/2229232 (0.6s)
CRC VERIFIED 159744/2229232 (0.6s)
CRC VERIFIED 163840/2229232 (0.6s)
CRC VERIFIED 167936/2229232 (0.6s)
CRC VERIFIED 172032/2229232 (0.7s)
CRC VERIFIED 176128/2229232 (0.7s)
CRC VERIFIED 180224/2229232 (0.7s)
CRC VERIFIED 184320/2229232 (0.7s)
CRC VERIFIED 188416/2229232 (0.7s)
CRC VERIFIED 192512/2229232 (0.7s)
CRC VERIFIED 196608/2229232 (0.8s)
CRC VERIFIED 200704/2229232 (0.8s)
CRC VERIFIED 204800/2229232 (0.8s)
CRC VERIFIED 208896/2229232 (0.8s)
CRC VERIFIED 212992/2229232 (0.8s)
CRC VERIFIED 217088/2229232 (0.8s)
CRC VERIFIED 221184/2229232 (0.8s)
CRC VERIFIED 225280/2229232 (0.9s)
CRC VERIFIED 229376/2229232 (0.9s)
CRC VERIFIED 233472/2229232 (0.9s)
CRC VERIFIED 237568/2229232 (0.9s)
CRC VERIFIED 241664/2229232 (0.9s)
CRC VERIFIED 245760/2229232 (0.9s)
CRC VERIFIED 249856/2229232 (1.0s)
CRC VERIFIED 253952/2229232 (1.0s)
CRC VERIFIED 258048/2229232 (1.0s)
CRC VERIFIED 262144/2229232 (1.0s)
CRC VERIFIED 266240/2229232 (1.0s)
CRC VERIFIED 270336/2229232 (1.0s)
CRC VERIFIED 274432/2229232 (1.0s)
CRC VERIFIED 278528/2229232 (1.1s)
CRC VERIFIED 282624/2229232 (1.1s)
CRC VERIFIED 286720/2229232 (1.1s)
CRC VERIFIED 290816/2229232 (1.1s)
CRC VERIFIED 294912/2229232 (1.1s)
CRC VERIFIED 299008/2229232 (1.1s)
CRC VERIFIED 303104/2229232 (1.2s)
CRC VERIFIED 307200/2229232 (1.2s)
CRC VERIFIED 311296/2229232 (1.2s)
CRC VERIFIED 315392/2229232 (1.2s)
CRC VERIFIED 319488/2229232 (1.2s)
CRC VERIFIED 323584/2229232 (1.2s)
CRC VERIFIED 327680/2229232 (1.2s)
CRC VERIFIED 331776/2229232 (1.3s)
CRC VERIFIED 335872/2229232 (1.3s)
CRC VERIFIED 339968/2229232 (1.3s)
CRC VERIFIED 344064/2229232 (1.3s)
CRC VERIFIED 348160/2229232 (1.3s)
CRC VERIFIED 352256/2229232 (1.3s)
CRC VERIFIED 356352/2229232 (1.4s)
CRC VERIFIED 360448/2229232 (1.4s)
CRC VERIFIED 364544/2229232 (1.4s)
CRC VERIFIED 368640/2229232 (1.4s)
CRC VERIFIED 372736/2229232 (1.4s)
CRC VERIFIED 376832/2229232 (1.4s)
CRC VERIFIED 380928/2229232 (1.5s)
CRC VERIFIED 385024/2229232 (1.5s)
CRC VERIFIED 389120/2229232 (1.5s)
CRC VERIFIED 393216/2229232 (1.5s)
CRC VERIFIED 397312/2229232 (1.5s)
CRC VERIFIED 401408/2229232 (1.5s)
CRC VERIFIED 405504/2229232 (1.5s)
CRC VERIFIED 409600/2229232 (1.6s)
CRC VERIFIED 413696/2229232 (1.6s)
CRC VERIFIED 417792/2229232 (1.6s)
CRC VERIFIED 421888/2229232 (1.6s)
CRC VERIFIED 425984/2229232 (1.6s)
CRC VERIFIED 430080/2229232 (1.6s)
CRC VERIFIED 434176/2229232 (1.7s)
CRC VERIFIED 438272/2229232 (1.7s)
CRC VERIFIED 442368/2229232 (1.7s)
CRC VERIFIED 446464/2229232 (1.7s)
CRC VERIFIED 450560/2229232 (1.7s)
CRC VERIFIED 454656/2229232 (1.7s)
CRC VERIFIED 458752/2229232 (1.8s)
CRC VERIFIED 462848/2229232 (1.8s)
CRC VERIFIED 466944/2229232 (1.8s)
CRC VERIFIED 471040/2229232 (1.8s)
CRC VERIFIED 475136/2229232 (1.8s)
CRC VERIFIED 479232/2229232 (1.8s)
CRC VERIFIED 483328/2229232 (1.8s)
CRC VERIFIED 487424/2229232 (1.9s)
CRC VERIFIED 491520/2229232 (1.9s)
CRC VERIFIED 495616/2229232 (1.9s)
CRC VERIFIED 499712/2229232 (1.9s)
CRC VERIFIED 503808/2229232 (1.9s)
CRC VERIFIED 507904/2229232 (1.9s)
CRC VERIFIED 512000/2229232 (2.0s)
CRC VERIFIED 516096/2229232 (2.0s)
CRC VERIFIED 520192/2229232 (2.0s)
CRC VERIFIED 524288/2229232 (2.0s)
CRC VERIFIED 528384/2229232 (2.0s)
CRC VERIFIED 532480/2229232 (2.0s)
CRC VERIFIED 536576/2229232 (2.0s)
CRC VERIFIED 540672/2229232 (2.1s)
CRC VERIFIED 544768/2229232 (2.1s)
CRC VERIFIED 548864/2229232 (2.1s)
CRC VERIFIED 552960/2229232 (2.1s)
CRC VERIFIED 557056/2229232 (2.1s)
CRC VERIFIED 561152/2229232 (2.1s)
CRC VERIFIED 565248/2229232 (2.2s)
CRC VERIFIED 569344/2229232 (2.2s)
CRC VERIFIED 573440/2229232 (2.2s)
CRC VERIFIED 577536/2229232 (2.2s)
CRC VERIFIED 581632/2229232 (2.2s)
CRC VERIFIED 585728/2229232 (2.2s)
CRC VERIFIED 589824/2229232 (2.3s)
CRC VERIFIED 593920/2229232 (2.3s)
CRC VERIFIED 598016/2229232 (2.3s)
CRC VERIFIED 602112/2229232 (2.3s)
CRC VERIFIED 606208/2229232 (2.3s)
CRC VERIFIED 610304/2229232 (2.3s)
CRC VERIFIED 614400/2229232 (2.3s)
CRC VERIFIED 618496/2229232 (2.4s)
CRC VERIFIED 622592/2229232 (2.4s)
CRC VERIFIED 626688/2229232 (2.4s)
CRC VERIFIED 630784/2229232 (2.4s)
CRC VERIFIED 634880/2229232 (2.4s)
CRC VERIFIED 638976/2229232 (2.5s)
CRC VERIFIED 643072/2229232 (2.5s)
CRC VERIFIED 647168/2229232 (2.5s)
CRC VERIFIED 651264/2229232 (2.5s)
CRC VERIFIED 655360/2229232 (2.5s)
CRC VERIFIED 659456/2229232 (2.5s)
CRC VERIFIED 663552/2229232 (2.5s)
CRC VERIFIED 667648/2229232 (2.6s)
CRC VERIFIED 671744/2229232 (2.6s)
CRC VERIFIED 675840/2229232 (2.6s)
CRC VERIFIED 679936/2229232 (2.6s)
CRC VERIFIED 684032/2229232 (2.6s)
CRC VERIFIED 688128/2229232 (2.6s)
CRC VERIFIED 692224/2229232 (2.7s)
CRC VERIFIED 696320/2229232 (2.7s)
CRC VERIFIED 700416/2229232 (2.7s)
CRC VERIFIED 704512/2229232 (2.7s)
CRC VERIFIED 708608/2229232 (2.7s)
CRC VERIFIED 712704/2229232 (2.7s)
CRC VERIFIED 716800/2229232 (2.8s)
CRC VERIFIED 720896/2229232 (2.8s)
CRC VERIFIED 724992/2229232 (2.8s)
CRC VERIFIED 729088/2229232 (2.8s)
CRC VERIFIED 733184/2229232 (2.8s)
CRC VERIFIED 737280/2229232 (2.8s)
CRC VERIFIED 741376/2229232 (2.8s)
CRC VERIFIED 745472/2229232 (2.9s)
CRC VERIFIED 749568/2229232 (2.9s)
CRC VERIFIED 753664/2229232 (2.9s)
CRC VERIFIED 757760/2229232 (2.9s)
CRC VERIFIED 761856/2229232 (2.9s)
CRC VERIFIED 765952/2229232 (2.9s)
CRC VERIFIED 770048/2229232 (3.0s)
CRC VERIFIED 774144/2229232 (3.0s)
CRC VERIFIED 778240/2229232 (3.0s)
CRC VERIFIED 782336/2229232 (3.0s)
CRC VERIFIED 786432/2229232 (3.0s)
CRC VERIFIED 790528/2229232 (3.0s)
CRC VERIFIED 794624/2229232 (3.0s)
CRC VERIFIED 798720/2229232 (3.1s)
CRC VERIFIED 802816/2229232 (3.1s)
CRC VERIFIED 806912/2229232 (3.1s)
CRC VERIFIED 811008/2229232 (3.1s)
CRC VERIFIED 815104/2229232 (3.1s)
CRC VERIFIED 819200/2229232 (3.1s)
CRC VERIFIED 823296/2229232 (3.2s)
CRC VERIFIED 827392/2229232 (3.2s)
CRC VERIFIED 831488/2229232 (3.2s)
CRC VERIFIED 835584/2229232 (3.2s)
CRC VERIFIED 839680/2229232 (3.2s)
CRC VERIFIED 843776/2229232 (3.2s)
CRC VERIFIED 847872/2229232 (3.2s)
CRC VERIFIED 851968/2229232 (3.3s)
CRC VERIFIED 856064/2229232 (3.3s)
CRC VERIFIED 860160/2229232 (3.3s)
CRC VERIFIED 864256/2229232 (3.3s)
CRC VERIFIED 868352/2229232 (3.3s)
CRC VERIFIED 872448/2229232 (3.3s)
CRC VERIFIED 876544/2229232 (3.4s)
CRC VERIFIED 880640/2229232 (3.4s)
CRC VERIFIED 884736/2229232 (3.4s)
CRC VERIFIED 888832/2229232 (3.4s)
CRC VERIFIED 892928/2229232 (3.4s)
CRC VERIFIED 897024/2229232 (3.4s)
CRC VERIFIED 901120/2229232 (3.5s)
CRC VERIFIED 905216/2229232 (3.5s)
CRC VERIFIED 909312/2229232 (3.5s)
CRC VERIFIED 913408/2229232 (3.5s)
CRC VERIFIED 917504/2229232 (3.5s)
CRC VERIFIED 921600/2229232 (3.5s)
CRC VERIFIED 925696/2229232 (3.5s)
CRC VERIFIED 929792/2229232 (3.6s)
CRC VERIFIED 933888/2229232 (3.6s)
CRC VERIFIED 937984/2229232 (3.6s)
CRC VERIFIED 942080/2229232 (3.6s)
CRC VERIFIED 946176/2229232 (3.6s)
CRC VERIFIED 950272/2229232 (3.6s)
