round,time_utc,sent,received,loss_percent,wifi_connected,ip,ble_connected,ble_encrypted,ble_connections,ble_disconnections,heap_free,heap_used,rx,tx,rx_rejected
1,2026-09-09T11:07:49.850436+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,4659,1650,18
2,2026-09-09T11:08:49.864137+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,4728,1700,19
3,2026-09-09T11:09:49.852141+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,4822,1750,19
4,2026-09-09T11:10:49.850398+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,4892,1800,20
5,2026-09-09T11:11:49.840508+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,4966,1850,21
6,2026-09-09T11:12:49.872984+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,5051,1900,21
7,2026-09-09T11:13:49.855017+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,5126,1950,22
8,2026-09-09T11:14:49.852972+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,5202,2000,22
9,2026-09-09T11:15:49.856916+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,5285,2050,23
10,2026-09-09T11:16:49.855276+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,5358,2100,25
11,2026-09-09T11:17:49.844937+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,5438,2150,26
12,2026-09-09T11:18:49.857125+00:00,50,49,2.0,1,10.3.0.214,1,1,3,2,126796848,80840,5520,2203,26
13,2026-09-09T11:19:49.845111+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,5584,2253,27
14,2026-09-09T11:20:49.849786+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,5653,2303,27
15,2026-09-09T11:21:49.868392+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,5726,2353,27
16,2026-09-09T11:22:49.848691+00:00,50,48,4.0,1,10.3.0.214,1,1,3,2,126796848,80840,5799,2403,27
17,2026-09-09T11:23:49.856883+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,5875,2453,27
18,2026-09-09T11:24:49.861982+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,5949,2503,27
19,2026-09-09T11:25:49.835388+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,6013,2553,27
20,2026-09-09T11:26:49.845765+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,6079,2603,27
21,2026-09-09T11:27:49.867143+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,6162,2653,27
22,2026-09-09T11:28:49.858883+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,6229,2703,27
23,2026-09-09T11:29:49.859238+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,6300,2753,27
24,2026-09-09T11:30:49.845678+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,6383,2803,28
25,2026-09-09T11:31:49.865365+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,6465,2853,30
26,2026-09-09T11:32:49.852218+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,6552,2903,30
27,2026-09-09T11:33:49.861330+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,6616,2953,30
28,2026-09-09T11:34:49.855588+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,6685,3003,32
29,2026-09-09T11:35:49.848697+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,6755,3053,32
30,2026-09-09T11:36:49.860022+00:00,50,50,0.0,1,10.3.0.214,1,1,3,2,126796848,80840,6818,3103,33
