round,time_utc,sent,received,loss_percent,wifi_connected,ip,ble_connected,ble_encrypted,ble_connections,ble_disconnections,heap_free,heap_used,rx,tx,rx_rejected
1,2026-09-09T10:14:07.263533+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805376,72312,1303,143,2
2,2026-09-09T10:15:07.271231+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805376,72312,1383,193,3
3,2026-09-09T10:16:07.279125+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,1470,243,3
4,2026-09-09T10:17:07.282995+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,1569,293,3
5,2026-09-09T10:18:07.273215+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,1664,347,3
6,2026-09-09T10:19:07.274192+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,1761,397,3
7,2026-09-09T10:20:07.249748+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,1856,447,3
8,2026-09-09T10:21:07.273497+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,1977,497,3
9,2026-09-09T10:22:07.259165+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,2092,547,3
10,2026-09-09T10:23:07.268336+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,2179,597,4
11,2026-09-09T10:24:07.253447+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,2265,647,5
12,2026-09-09T10:25:07.271743+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,2345,697,6
13,2026-09-09T10:26:07.250281+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,2436,747,6
14,2026-09-09T10:27:07.250355+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,2511,797,7
15,2026-09-09T10:28:07.245178+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,2599,847,7
16,2026-09-09T10:29:07.271257+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,2687,897,7
17,2026-09-09T10:30:07.271366+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,2791,947,7
18,2026-09-09T10:31:07.260204+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,2886,997,7
19,2026-09-09T10:32:07.256242+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,2970,1047,8
20,2026-09-09T10:33:07.264240+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,3062,1097,9
21,2026-09-09T10:34:07.263856+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,3149,1147,10
22,2026-09-09T10:35:07.273311+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,3249,1197,11
23,2026-09-09T10:36:07.282451+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,3344,1247,11
24,2026-09-09T10:37:07.286254+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,3415,1297,13
25,2026-09-09T10:38:07.264900+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,3507,1349,14
26,2026-09-09T10:39:07.266911+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,3574,1399,14
27,2026-09-09T10:40:07.258135+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,3655,1449,15
28,2026-09-09T10:41:07.281959+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,3748,1499,15
29,2026-09-09T10:42:07.263682+00:00,50,49,2.0,1,10.3.0.214,0,0,2,2,126805440,72248,3824,1549,16
30,2026-09-09T10:43:07.268545+00:00,50,50,0.0,1,10.3.0.214,0,0,2,2,126805440,72248,3912,1599,17
